"","sample_id","core_id","country_name","country_code","region_name","sub_region_name","site_name","lat","long","alt","depth_start_cm","depth_end_cm","increment_length_cm","mid_increment_depth_cm","topographic_position","slope_position","slope_deg","geology","land_use","years_since_deforestation","crops","set","BD_gcm3","TC_gkg","TN_gkg","CN_ratio","pH","ECEC_cmolckg","Ca_av_cmolckg","Mg_av_cmolckg","sum_bases_cmolckg","TRB_gkg","Ca_tot_gkg","Mg_tot_gkg","K_tot_gkg","P_tot_gkg","resinP_mgkg","FMC","clay_perc","silt_perc","sand_perc","Si_xrf_perc","Al_xrf_perc","Fe_xrf_perc","Fe_ox_perc","Fe_pyox_perc","Fe_pyoxdcb_perc","Al_ox_perc","Al_pyox_perc","Al_pyoxdcb_perc","Al_ar_gkg","Fe_ar_gkg"
"1","cod_kal1_slope_0-10","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,0,10,10,5,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",0.896,21.9529123801517,1.79716327671186,10.3449368787398,5.44875971391766,19.4478577140095,12.1956577099681,5.04619030534685,19.0592443037963,9.43827688980634,3.65104030308755,4.86138865546399,0.819145606332848,1.63090974311144,3.31188118811881,NA,59.7488088501358,14.5879052254124,25.6632859244518,14.2468140208762,12.632673061043,14.7539167309041,1.00144918123578,1.30738438641287,10.6077683860993,0.394681273574709,0.396774909431102,4.42739577197963,60.7308812586812,120.156595108358
"2","cod_kal1_slope_10-20","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,10,20,10,15,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.162,23.231505243241,1.70264999210459,11.4706626784988,5.51746220023285,20.4219867880157,12.5858437844828,5.09720534598491,19.637054263402,7.90907444439402,4.47453331797244,4.98391936763376,0.373228632331439,1.457700314214,NA,NA,62.3253823779856,16.3676989614494,21.3069186605649,14.6850384266052,12.3180921633247,13.0594766152136,0.597763490179465,1.02077849434128,8.82284994149555,0.309128367250029,0.37189858663659,3.3710512499103,58.5996678219784,110.444871310957
"3","cod_kal1_slope_20-30","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,20,30,10,25,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.302,22.9482084031387,1.87264352540811,12.4055150285845,5.47869866447282,18.8565643398118,12.7579854474534,4.34891939453942,18.3661318029031,7.69394878844902,3.70442042638017,3.27438073622701,0.883421104211705,1.3959352895189,NA,NA,67.7251871906034,13.2077978687874,19.0670149406092,13.8979996730928,11.6960284735909,13.3422653043341,0.797783126472308,0.690782453837669,11.0890816671122,0.326129395435567,0.335232108395293,3.6661868689661,61.3623985966408,114.442534832847
"4","cod_kal1_slope_30-40","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,30,40,10,35,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.302,22.0185622543292,1.63964622450036,11.5755626062765,5.17563530469487,18.715144883274,11.8864553878989,4.42583705596844,17.9061151505441,8.09932980056665,3.13696439874041,3.4451599428652,0.845777377215769,1.42920559810466,NA,NA,62.114840581111,15.6175943160198,22.2675651028693,14.0743863729399,12.4921711107299,14.9582233098195,1.19507355873339,0.441820284086387,10.876410117715,0.194452747784331,0.3397844915937,4.37615089161496,59.7727838959537,121.360236829265
"5","cod_kal1_slope_40-50","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,40,50,10,45,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.282,20.5655668493918,1.7938052133176,11.7381446341311,5.13794478577441,16.5603635308729,10.2603505727178,3.79280661584316,15.452847905137,6.10693168338233,2.42753732597835,2.92157554495604,0.769182168154193,1.22097985126353,NA,NA,67.6033216515358,12.3165358025108,20.0801425459534,13.4169609174874,12.7923847370262,14.4389747220813,0.811300202098542,0.449336488053979,10.9538566678703,0.363974180169809,0.337698984334663,3.98756147502585,51.6012431911056,103.138496217325
"6","cod_kal1_slope_50-60","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,50,60,10,55,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.346,12.9775311110934,1.36836928334872,9.81284506921341,4.64489048582279,11.2058155688292,6.19815188193171,2.71564178240523,10.1668062973831,3.71097444108216,1.08588338729145,2.03536268060483,0.264223576300276,1.2035990192907,NA,NA,74.6619738612237,10.5034516513941,14.8345744873821,13.8680425601674,13.2383051469283,14.4222458229976,0.650985261732277,0.431709275862911,10.6249778953109,0.354048725802511,0.392468121515411,4.96760006822802,60.4650553028098,105.066799643278
"7","cod_kal1_slope_60-70","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,60,70,10,65,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.034,9.92563120699138,1.1167315543117,9.43325924465851,4.755897045222,10.4452447210275,6.25545287711144,2.26834590528233,8.87557077715316,5.11459782195604,1.22659867742453,1.96946136575513,0.531241122485291,1.52988346690536,NA,NA,78.8363096075265,8.35814382411592,12.8055465683576,13.2671813863205,12.9746840125835,14.5644305775285,0.376510697103305,0.26308886788158,10.4596136873781,0.299893433949131,0.327483717702953,4.59112068979899,58.5638161839119,109.632950024494
"8","cod_kal1_slope_70-80","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,70,80,10,75,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.386,9.93411443369656,0.976131714687383,9.46229663454302,4.54441559103256,9.74695122885854,5.32614798855323,2.23569255709815,8.34809534344802,4.5312985650631,1.07049648807835,1.68352721402502,0.527171249722263,1.41074218868409,NA,NA,75.9333772085382,8.18007976607337,15.8865430253885,13.2803773330794,13.1687994568385,15.8734236699201,0.326313141754335,0.164021523063047,9.93086374297625,0.237534886827935,0.257770705866761,4.3484954838983,57.6475494081445,113.880114819904
"9","cod_kal1_slope_80-90","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,80,90,10,85,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.081,10.5237784709263,1.20172392559701,10.061566984036,4.52818812815747,9.65753865995961,4.56388666348745,2.24285718516262,7.52602061818339,4.12442596140218,1.08766256246042,1.77921063223025,0.535541060502204,1.37859776930806,NA,NA,75.4640164113853,9.39476405294593,15.1412195356688,13.1546109808754,12.9546346726383,15.252433104815,0.303925742308404,0.210960615399841,10.4499270969899,0.247121296076913,0.288409729260903,4.92623598401441,58.179257122866,112.061050559454
"10","cod_kal1_slope_90-100","cod_kal1_slope","Democratic Republic of Congo","cod","Bukavu","Kalambo","Kalambo",-2.39935,28.84246,1492,90,100,10,95,"slope","Mid slope",12.5,"mafic","cropland","> 60","cassava","slope",1.232,10.1446433084687,1.23985323360236,11.0496461627195,4.40563240407138,11.1550433980448,5.37437392595395,2.61294836487718,8.93053255136068,4.30500457060529,0.966803771841556,2.48084683480772,0.633158896943347,1.25409724082198,NA,NA,72.6553046945449,10.6984973590666,16.6461979463885,13.8129436636527,13.121416401153,15.7261978886382,0.380518907177604,0.226778501859216,11.0334282475817,0.296580116141584,0.363418918142972,5.36093060107749,59.4985137669375,120.3810650701
