sample_id,core_id,site_name,region,sub_region,country_name,country_code,lat,long,alt,depth_start_cm,depth_end_cm,increment_length_cm,mid_increment_depth_cm,topographic_position,slope_position,slope_deg,material,geology,land_use,land_cover,crops,set,years_since_deforestation,BD_gcm3,TC_gkg,TN_gkg,CN_ratio,pH,TRB_gkg,CIA,ECEC_cmolckg,Ti_xrf_perc,Ti_xrf_perc_corrOC,Nb_xrf_ugg,Zr_Ti_ratio_xrf,Si_xrf_perc,Al_xrf_perc,Fe_xrf_perc,Fe_ox_perc,Fe_pyox_perc,Fe_pyoxdcb_perc,Al_ox_perc,Al_pyox_perc,Al_pyoxdcb_perc,Al_ar_gkg,Fe_ar_gkg,Ca_av_cmolckg,Mg_av_cmolckg,sum_bases_cmolckg,Ca_tot_gkg,Mg_tot_gkg,K_tot_gkg,P_tot_gkg,clay_perc,silt_perc,sand_perc
21_uga_kais_profile01,21_uga_kai_profile,Kaisenda Cell,rwenzori foothills,rwenzori,Uganda,uga,0.55928,30.13234,1708,0,10,10,5,profile,NA,NA,soil,felsic,cropland,cropland,banana,roadcut,> 60,NA,25.41,2.132,11.9183864915572,5.22282379628453,10.7832564205457,89.3663821272288,11.5059829826942,0.5855,0.570622445,81.8,0.05246797608881298,21.5,10.71,4.37,0.7269228502478261,1.0904184821507534,4.301403661857831,0.12309999840745292,0.3291992893632203,1.2510074981899602,31.5008025682183,36.6736055377207,7.88599291593304,3.30397697736242,11.4979788353096,3.53380818619583,4.3489165329053,2.62464887640449,1.02202046548957,36.642140393822594,21.8531571164945,41.504702489682906
21_uga_kais_profile02,21_uga_kai_profile,Kaisenda Cell,rwenzori foothills,rwenzori,Uganda,uga,0.55928,30.13234,1708,10,55,45,32.5,profile,NA,NA,soil,felsic,cropland,cropland,banana,roadcut,> 60,NA,19.95,1.822,10.9495060373216,5.07540004487901,10.4266694674509,90.9239749169592,8.89630140283636,0.6123,0.600084615,83.6,0.04528825739016821,21.25,10.92,4.451,0.6436935443554287,1.1392842855392054,3.742876585147496,0.2745453237628898,0.3622873880215961,1.9270127523573557,34.3221101908534,39.6548533589405,6.10819721464343,2.44232477486019,8.65067194118897,3.32343056055696,4.49875965270276,2.32940223262514,0.806475813227704,41.34883951926837,22.490483221275248,36.16067725945637
21_uga_kais_profile03,21_uga_kai_profile,Kaisenda Cell,rwenzori foothills,rwenzori,Uganda,uga,0.55928,30.13234,1708,55,95,40,75,profile,NA,NA,soil,felsic,cropland,cropland,banana,roadcut,> 60,NA,5.448,0.62,8.78709677419355,4.43316163892806,9.03245636832531,91.990508379605,7.69894477879235,0.6851,0.6813675752,111,0.04881039264340971,21.61,11.13,4.889,1.5372587985469346,2.308814929286828,3.289472049006774,0.2791247509247688,0.575753593952912,2.885459114155303,38.0964994702225,40.3892864996702,5.26672407692975,2.1957188984535,7.52418948868632,2.69636752563923,3.90835848943444,2.11536154814978,0.868385278183163,50.688702376150104,8.915247341177059,40.39605028267283
21_uga_kais_profile04,21_uga_kai_profile,Kaisenda Cell,rwenzori foothills,rwenzori,Uganda,uga,0.55928,30.13234,1708,95,140,45,117.5,profile,NA,NA,soil,felsic,cropland,cropland,banana,roadcut,> 60,NA,4.199,0.252,16.6626984126984,5.62739967041855,11.1493936052922,93.5605381162462,12.6745692291992,0.5228,0.5206047628,76.3,0.04087605202754399,19.43,13.31,6.518,1.2563609362492525,1.6212863385928662,4.046211501025498,0.5024704480985039,0.5387692747984546,5.433603928914701,59.9879723363737,51.4746416758545,8.81653276862858,3.62725167332325,12.6224949478525,2.72877618522602,5.37235641976546,2.67239651197755,1.03362734288864,46.62343141036463,7.170910893317167,46.20565769631819
21_uga_kais_profile05,21_uga_kai_profile,Kaisenda Cell,rwenzori foothills,rwenzori,Uganda,uga,0.55928,30.13234,1708,140,192,52,166,profile,NA,NA,soil,felsic,cropland,cropland,banana,roadcut,> 60,NA,3.222,0.561,5.74331550802139,5.13,8.19222365676831,94.2042834908893,9.96165673762465,0.3127,0.3116924806,28.7,0.04013431403901503,21.08,13.87,3.838,0.5701137651081027,0.49675485168627914,2.9022692961860215,0.03580068715991508,0.001,1.1590576954823042,37.5906246896415,24.4003873274407,7.26907879269822,2.47608090745346,9.93123415233514,2.95213030092363,3.63491905849638,1.34447313536598,0.552438176581587,44.32905174787327,17.547187942339146,38.12376030978759
21_uga_kais_profile06,21_uga_kai_profile,Kaisenda Cell,rwenzori foothills,rwenzori,Uganda,uga,0.55928,30.13234,1708,192,230,38,211,profile,NA,NA,soil,felsic,cropland,cropland,banana,roadcut,> 60,NA,2.01,0.425,4.72941176470588,5.13014197552414,10.1108944919555,92.7118051883006,7.85406603655938,0.265,0.26446735000000005,18.1,0.05207547169811321,21.77,13.22,3.231,0.7045671962618031,0.5513218564302989,1.08835328555518,0.001,0.001,0.7974855102191549,39.9461355254299,23.3081932287532,5.86676181591544,1.78015765076155,7.83851891314146,3.74086766021164,3.90416947210805,2.25230883638666,0.395692851902843,35.13167615633582,21.598841963893303,43.26948187977088
21_uga_kais_profile07,21_uga_kai_profile,Kaisenda Cell,rwenzori foothills,rwenzori,Uganda,uga,0.55928,30.13234,1708,230,274,44,252,profile,NA,NA,soil,felsic,cropland,cropland,banana,roadcut,> 60,NA,0.779,0.217,3.58986175115207,5.55933673218818,9.2596725083559,88.0722871612742,4.06990981922084,0.2048,0.20464046080000003,4.8,0.05693359375,23.96,12.36,2.183,0.28592510111137903,0.001,0.001,0.001,0.001,0.06741289950608699,22.6625804595991,12.7384034038502,3.05967890538229,0.862825335299696,4.06962285604725,3.95231436024081,2.74975948902576,2.42122645719896,0.142570938339929,20.863015098258412,21.902243799068795,57.2347411026728
21_uga_kais_profile08,21_uga_kai_profile,Kaisenda Cell,rwenzori foothills,rwenzori,Uganda,uga,0.55928,30.13234,1708,274,329,55,301.5,profile,NA,NA,soil,felsic,cropland,cropland,banana,roadcut,> 60,NA,0.544,0.209,2.60287081339713,5.47,9.85782061228144,85.8927413248255,3.25791237407907,0.1904,0.1902964224,3.4,0.05751050420168067,25.26,11.96,2.18,0.001,0.001,0.001,0.001,0.001,0.001,19.8051560541863,12.525859839669,2.46731528634323,0.672601693069701,3.25756241057527,4.54785064947982,2.58349744385431,2.58971375146705,0.105677229416562,13.799414579126806,19.444690141754023,66.75589527911919
21_uga_kais_profile09,21_uga_kai_profile,Kaisenda Cell,rwenzori foothills,rwenzori,Uganda,uga,0.55928,30.13234,1708,329,400,71,364.5,profile,NA,NA,soil,felsic,cropland,cropland,banana,roadcut,> 60,NA,0.334,0.043,7.76744186046512,6.09064776290583,10.8679808600897,77.3640600360145,2.79928700223169,0.1914,0.1913360724,NA,0.04367816091954023,24.79,11.09,2.018,0.001,0.001,0.001,0.04538155977841336,0.001,0.001,13.231568789079,9.1791652425662,1.59860519281864,0.659044089500384,2.79919472097809,4.93576469169063,2.58599891433282,3.23312692253564,0.08167635054987,6.319130346787961,15.272400236216363,78.40846941699567
21_uga_mati_profile01,21_uga_mati_profile,Matiri,west fort portal,matiri,Uganda,uga,0.55739,30.83124,1204,0,5,5,2.5,profile,NA,NA,soil,felsic,forest,forest,NA,roadcut,NA,NA,30.814554107636,2.59285311934052,10.4402346419678,4.69,0.953361819708774,97.3994932227895,5.41618993464443,0.9212034012374576,0.8928169291858877,50.69793863118626,0.04893111267387488,17.0939445245339,12.139968888811964,4.567198227812207,0.35265575659371556,0.001,9.270773751286502,0.1658529098703921,0.15046752453012385,2.0436956533207153,23.5788847738151,39.4205830550847,3.646942871847704,1.7477615263525157,4.746459786382861,0.7492013627532168,0.001,0.30687104474826266,0.4209052074399497,54.7857040879837,13.044886788468624,32.16940912354767
21_uga_mati_profile02,21_uga_mati_profile,Matiri,west fort portal,matiri,Uganda,uga,0.55739,30.83124,1204,5,40,35,22.5,profile,NA,NA,soil,felsic,forest,forest,NA,roadcut,NA,NA,14.3018786342337,1.23319132394391,9.3949301387913,3.94,0.864464473322722,97.2493780683552,2.30685360914584,0.9334924114508928,0.920141716276344,60.55283778169577,0.04679567505960577,17.6734094796412,13.58562435126935,5.253636327301846,0.12210839314670578,0.001,5.871295330990186,0.1560038282753735,0.2539258254532718,2.128236011030835,34.9857555895725,47.4627651553678,0.20218192347544384,0.5781477719604232,0.22366124391742667,0.1846074131048099,0.10834657834071774,0.7321688467049591,0.6984998397649548,63.67552256260363,9.851562807253726,26.47291463014264
21_uga_mati_profile03,21_uga_mati_profile,Matiri,west fort portal,matiri,Uganda,uga,0.55739,30.83124,1204,40,145,105,92.5,profile,NA,NA,soil,felsic,forest,forest,NA,roadcut,NA,NA,7.75224035523321,0.688290131931082,8.82406807546934,4.37,1.25396497653055,97.5701545554799,4.3837940793531,0.8759615473498121,0.8691708828928144,69.99712256627821,0.05964710282438525,19.2596787411575,12.957805009953788,4.321915514393677,0.29890193275288574,0.0784631485998694,6.114610843138224,0.1710782333990272,0.2734489939173572,3.775763458311203,32.3906475628343,46.6431033985191,2.909429798513683,0.8153781169953385,3.585317868875904,0.5999445942814052,0.5838492101013218,0.48308354878609905,0.4779549480073674,55.88760422934536,9.300801471059192,34.811594299595455
21_uga_mati_profile04,21_uga_mati_profile,Matiri,west fort portal,matiri,Uganda,uga,0.55739,30.83124,1204,145,210,65,177.5,profile,NA,NA,soil,felsic,forest,forest,NA,roadcut,NA,NA,4.60854633649654,0.336620240602334,6.80505634312557,6.27,1.32982223843211,97.5260272227487,3.67666088325056,0.9822905951073928,0.9777636633839356,74.4641748428668,0.04467962750691221,16.2510000071511,14.752224623047416,6.056001934799358,0.001,0.001,5.90338035139448,0.1526957360764649,0.1247766458794758,3.445184414022638,31.8968396201825,68.8026028842449,2.5172990441862644,0.8569484164295005,3.150126076475234,0.791234169397541,0.22635404494963332,0.7398967802716133,0.6377510442972146,70.24945081507197,6.311101386323164,23.43944779860487
21_uga_mati_profile05,21_uga_mati_profile,Matiri,west fort portal,matiri,Uganda,uga,0.55739,30.83124,1204,210,280,70,245,profile,NA,NA,soil,felsic,forest,forest,NA,roadcut,NA,NA,5.25703836352652,0.191273956039449,9.65411735835851,7.61,2.46844008787497,97.4060977073897,3.45812696614331,0.8513244638597969,0.8468490184934773,45.714123399251186,0.04963814327645192,16.9767348954782,13.237257791136596,4.098554752488431,0.001,0.001,5.2060196531675995,0.04210171656221841,0.08230754880129215,3.419068982424501,23.8046834132249,45.5795570712161,2.0690068324659294,0.708184377989899,2.6208997915316865,1.7251774097045534,0.17908845896477854,0.3219904161548247,0.7268708625436461,66.36125088157586,7.330189531776282,26.30855958664787
21_uga_mati_profile06,21_uga_mati_profile,Matiri,west fort portal,matiri,Uganda,uga,0.55739,30.83124,1204,280,315,35,297.5,profile,NA,NA,soil,felsic,forest,forest,NA,roadcut,NA,NA,4.51617050290105,0.267978913956489,9.81080001394587,7.65,1.80997286014145,97.0787077722506,1.76229894979555,0.8312165319479907,0.8274626163648834,50.421837150769434,0.04970050910346988,18.0912421477818,14.252110907668587,4.238250591308066,0.001,0.001,3.552298583890027,0.07817231419442822,0.02043454787093736,2.3778128453858653,25.8134275811009,56.6360012813916,2.2194614767850727,1.0256410015368784,1.2703336917399066,0.9357867858249792,0.001,0.6144296749999867,0.7679243227861129,63.840961440707446,7.682084487154177,28.47695407213838
21_uga_mati_profile07,21_uga_mati_profile,Matiri,west fort portal,matiri,Uganda,uga,0.55739,30.83124,1204,315,390,75,352.5,profile,NA,NA,soil,felsic,forest,forest,NA,roadcut,NA,NA,5.19568718009368,0.198960527804274,11.5907915584053,7.6,1.83324907770449,97.0875437367935,2.34683260170387,0.8370209219432314,0.8326720230696207,35.99674488750188,0.05049915513639004,17.8739629310711,14.337655715847191,2.770269184553668,0.001,0.001,4.170704314588283,0.05247158186948654,0.04792844664858049,2.8550343914286396,21.6434083663999,47.8360167888954,1.8031940498830064,1.158042548484426,1.4655033670981303,1.032235242593031,0.001,0.5045092889726434,0.5129449957408948,62.19844005336056,8.180782762252408,29.62077718438703
21_uga_mati_profile08,21_uga_mati_profile,Matiri,west fort portal,matiri,Uganda,uga,0.55739,30.83124,1204,390,472,82,431,profile,NA,NA,soil,felsic,forest,forest,NA,roadcut,NA,NA,4.62271843185787,0.125341689161759,12.5175985632639,7.66,1.55236430150712,96.5745047358449,2.16614353521039,0.615724676491194,0.6128783546802284,7.63238797809893,0.05206093453104989,19.7324446075137,13.086628540336063,2.0844248361199633,0.09859746498552135,0.001,4.394407189669181,0.04757234413726333,0.001,2.184934375570987,13.4345264592007,45.910392096409,1.95620840744212,1.2556485760039997,1.471092237544252,1.104845574286204,0.001,0.6490456087284261,0.44542404927286383,59.05770622641489,8.126177274290646,32.81611649929446
21_uga_mati_profile09,21_uga_mati_profile,Matiri,west fort portal,matiri,Uganda,uga,0.55739,30.83124,1204,472,572,100,522,profile,NA,NA,soil,felsic,forest,forest,NA,roadcut,NA,NA,5.75716935227286,0.422018199073139,14.8611783556888,6.71,1.09714866977865,98.2029218054805,1.25995448698485,0.5195094372226129,0.5165185334124183,37.96046938999069,0.03957049561601961,17.3882936174496,16.028907643127297,0.001,0.001,0.001,0.9543892207270412,0.001,0.001,0.001,25.4489089455359,45.8445099333042,1.8156116302570295,0.416554866499801,1.1576711199229237,0.20790435473202828,0.001,1.238415102800703,0.4072950563745505,63.22227265935935,8.01715428737083,28.76057305326983
21_cod_ikul_profile01,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,0,20,20,10,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,24,2.093,11.4667940754897,4.69,2.05919080919081,98.2362950400022,6.05061746501652,1.7,1.6591999999999998,198.1,0.03079411764705882,13.58,13.41,11.79,1.0661845711986746,0.7051746642786303,9.222096404949166,0.5100226314415962,0.5187045906206763,5.271534647110348,51.1613386613387,87.3189310689311,4.30146685691429,1.36160830548257,5.80468176034342,0.734265734265734,0.909090909090909,0.203546453546454,1.08016983016983,63.467682629831835,12.46250688654493,24.069810483623232
21_cod_ikul_profile02,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,20,60,40,40,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,17.88,1.833,9.75450081833061,4.43,2.01167992047714,98.4824442027791,4.08050755370377,1.703,1.6725503600000002,196,0.03080446271285966,13.41,13.35,11.92,0.9792079680603342,0.8896005474383019,7.972586225854153,0.4204519139235463,0.5125320986971753,5.159369943360673,69.0482107355865,106.007703777336,2.77356531514881,0.768628219608612,3.57221052559317,0.581510934393638,0.979125248508946,0.190109343936382,1.11207753479125,71.38914469524885,11.486180636366958,17.124674668384188
21_cod_ikul_profile03,21_cod_ikul_profileA,Ikulubi,bukavu,walungu,Democratic Republic of Congo,cod,-2.614775,28.70496,1705,60,90,30,75,profile,NA,NA,soil,mafic,NA,grass,NA,roadcut,> 60,NA,10.43,1.197,8.71345029239766,4.5,2.07167832167832,98.3988765904329,3.48229942513994,1.543,1.5269065099999997,210.25,0.03553791315618924,12.565,13.46,11.78,1.2460196472904783,1.0132940542680269,8.366952011405296,0.46616484468423475,0.4193504011425343,5.116067410050366,78.2717282717283,120.635614385614,2.62388687376333,0.511271123090859,3.13734630712755,0.534465534465535,0.971528471528472,0.265984015984016,1.20504495504496,70.83202969731494,9.498876520641948,19.66909378204311
